Order Date,Order Ref No,Customer Ref,Order Number,Product Key,Region Key,Order Quantity
18/07/2017,2017XX222895,132166,ON#2426,237,159,4
18/07/2017,2017XX222895,132166,ON#2350,353,194,4
25/12/2016,2016XX246758,127831,ON#2443,403,217,3
25/12/2016,2016XX246758,127831,ON#2444,445,105,3
25/12/2016,2016XX246758,127831,ON#2382,447,209,3
25/12/2016,2016XX246758,127831,ON#2369,478,128,4
30/05/2016,2016YY275388,130081,ON#2403,316,178,3
06/12/2015,2015XX217589,122701,ON#2352,434,191,3
06/12/2015,2015XX217589,122701,ON#2361,266,116,3
05/07/2017,2017XX231036,127381,ON#2433,315,189,4
19/10/2017,2017XX217288,126091,ON#2436,407,138,3
15/10/2018,2018XX225653,132631,ON#2425,215,127,4
27/05/2016,2016YY245239,126856,ON#2420,270,180,4
27/05/2016,2016YY245239,126856,ON#2359,292,120,3
27/05/2016,2016YY245239,126856,ON#2382,392,154,4
10/12/2018,2018YY229251,127711,ON#2421,209,126,3
10/12/2018,2018YY229251,127711,ON#2447,229,111,4
10/12/2018,2018YY229251,127711,ON#2429,409,106,4
27/12/2015,2015YY258819,126856,ON#2388,220,108,3
13/07/2017,2017XX238421,131881,ON#2386,236,160,4
13/07/2017,2017XX238421,131881,ON#2378,367,106,4
13/11/2015,2015XX250664,124801,ON#2351,397,117,4
13/11/2015,2015XX250664,124801,ON#2409,231,142,3
04/10/2016,2016XX260947,127216,ON#2442,371,170,4
14/12/2018,2018YY230875,123511,ON#2450,265,113,4
28/06/2018,2018XX251301,129976,ON#2381,406,171,4
27/11/2018,2018XX266771,130006,ON#2422,242,175,3
27/11/2018,2018XX266771,130006,ON#2396,330,217,4
06/05/2017,2017XX270908,125566,ON#2357,200,132,4
18/10/2017,2017XX221019,126796,ON#2409,250,131,4
18/10/2017,2017XX221019,126796,ON#2442,208,145,4
18/10/2017,2017XX221019,126796,ON#2442,457,112,4
31/2/2016,2016XX260800,127426,ON#2372,423,185,4
31/2/2016,2016XX260800,127426,ON#2388,395,101,3
31/2/2016,2016XX260800,127426,ON#2379,201,208,4
07/12/2018,2018YY220697,130816,ON#2370,423,188,4
10/12/2018,2018XX272231,129886,ON#2425,224,218,4
18/07/2018,2018XX269046,127456,ON#2367,427,141,4
07/10/2017,2017XX260436,124966,ON#2361,341,176,4
29/09/2017,2017XX269781,130576,ON#2423,203,137,3
29/09/2017,2017XX269781,130576,ON#2444,380,156,3
29/09/2017,2017XX269781,130576,ON#2375,255,169,3
02/12/2017,2017XX241116,125581,ON#2416,270,210,4
14/12/2016,2016YY268080,127981,ON#2383,241,137,3
14/12/2016,2016YY268080,127981,ON#2426,338,208,3
14/12/2016,2016YY268080,127981,ON#2429,350,193,3
24/12/2018,2018XX230217,126361,ON#2392,210,215,3
24/12/2018,2018XX230217,126361,ON#2436,215,212,4
24/12/2018,2018XX230217,126361,ON#2443,267,131,4
16/11/2016,2016XX240689,130171,ON#2415,232,202,3
26/12/2018,2018XX257993,123916,ON#2399,436,173,3
04/12/2017,2017XX240080,123676,ON#2428,343,206,4
04/12/2017,2017XX240080,123676,ON#2388,400,146,3
26/09/2015,2015XX226472,131071,ON#2393,291,125,4
26/09/2015,2015XX226472,131071,ON#2355,212,211,4
26/09/2015,2015XX226472,131071,ON#2404,439,117,3
26/09/2015,2015XX226472,131071,ON#2401,264,212,3
03/04/2016,2016XX221670,124201,ON#2425,259,125,4
06/05/2016,2016YY247689,125761,ON#2349,205,145,3
13/07/2017,2017XX214943,131836,ON#2404,428,114,3
13/07/2017,2017XX214943,131836,ON#2397,221,106,3
13/07/2017,2017XX214943,131836,ON#2399,290,208,3
13/07/2017,2017XX214943,131836,ON#2431,236,163,3
13/07/2017,2017XX214943,131836,ON#2394,311,176,4
27/12/2015,2015YY263243,121291,ON#2352,466,117,4
21/10/2015,2015YY245827,130276,ON#2431,293,162,4
06/12/2018,2018YY218485,132721,ON#2392,317,103,4
06/12/2018,2018YY218485,132721,ON#2362,433,126,4
07/12/2017,2017YY237182,128086,ON#2438,350,104,3
07/12/2017,2017YY237182,128086,ON#2410,214,205,3
03/03/2018,2018YY275360,124696,ON#2357,282,153,3
03/03/2018,2018YY275360,124696,ON#2378,307,154,4
03/03/2018,2018YY275360,124696,ON#2408,253,118,3
14/11/2017,2017XX256796,127996,ON#2396,304,103,3
14/11/2017,2017XX256796,127996,ON#2356,372,120,4
14/11/2017,2017XX256796,127996,ON#2441,347,216,4
14/11/2017,2017XX256796,127996,ON#2448,375,111,4
14/11/2017,2017XX256796,127996,ON#2394,463,109,4
14/11/2017,2017XX256796,127996,ON#2445,417,107,4
14/11/2017,2017XX256796,127996,ON#2438,474,101,4
06/10/2017,2017XX221579,127006,ON#2425,444,125,3
19/10/2018,2018XX217393,131086,ON#2374,301,193,4
19/10/2018,2018XX217393,131086,ON#2396,280,181,3
19/10/2018,2018XX217393,131086,ON#2423,473,138,4
23/12/2018,2018XX266589,131191,ON#2436,265,123,3
08/10/2016,2016XX221957,126031,ON#2415,389,216,3
23/11/2015,2015XX221285,128791,ON#2411,290,175,3
06/12/2017,2017XX225702,127276,ON#2445,221,199,3
06/12/2017,2017XX225702,127276,ON#2446,351,219,3
06/12/2017,2017XX225702,127276,ON#2422,266,187,3
06/12/2017,2017XX225702,127276,ON#2390,361,136,4
14/04/2017,2017XX270047,132136,ON#2349,477,123,4
14/04/2017,2017XX270047,132136,ON#2409,342,162,4
31/6/2016,2016XX236132,131761,ON#2416,285,203,3
31/6/2016,2016XX236132,131761,ON#2377,255,156,3
31/6/2016,2016XX236132,131761,ON#2401,281,141,4
28/06/2016,2016XX230161,129601,ON#2402,379,141,4
02/04/2015,2015XX215482,124171,ON#2390,352,110,4
21/12/2017,2017XX225317,129781,ON#2422,317,114,4
21/12/2017,2017XX225317,129781,ON#2359,220,148,3
12/06/2017,2017XX273946,132181,ON#2357,328,209,4
28/12/2016,2016XX230910,125071,ON#2429,416,169,4
17/12/2017,2017XX265721,131011,ON#2442,430,160,3
08/12/2017,2017XX225030,128851,ON#2367,418,213,4
09/10/2015,2015XX251105,122251,ON#2371,328,177,3
09/10/2015,2015XX251105,122251,ON#2374,377,185,3
09/10/2015,2015XX251105,122251,ON#2419,202,148,4
09/10/2015,2015XX251105,122251,ON#2409,479,111,4
09/10/2015,2015XX251105,122251,ON#2398,203,109,4
09/10/2015,2015XX251105,122251,ON#2399,418,159,4
09/10/2015,2015XX251105,122251,ON#2394,232,166,3
06/09/2015,2015XX230175,123241,ON#2437,226,213,3
06/09/2015,2015XX230175,123241,ON#2376,343,168,3
06/09/2015,2015XX230175,123241,ON#2391,247,197,4
15/10/2015,2015YY212066,126511,ON#2357,437,187,4
15/10/2015,2015YY212066,126511,ON#2389,260,131,4
22/05/2018,2018YY263579,131611,ON#2436,300,164,3
22/12/2016,2016YY212724,126856,ON#2367,459,143,3
22/12/2016,2016YY212724,126856,ON#2416,333,106,4
16/12/2016,2016XX248438,126751,ON#2398,355,165,4
06/12/2015,2015XX277404,124261,ON#2408,353,151,4
06/12/2015,2015XX277404,124261,ON#2441,422,106,3
20/12/2015,2015XX269487,130786,ON#2368,425,162,3
20/12/2015,2015XX269487,130786,ON#2433,309,121,3
20/12/2015,2015XX269487,130786,ON#2417,262,152,4
28/12/2017,2017XX216231,131101,ON#2375,395,161,4
27/09/2015,2015XX234473,125401,ON#2432,360,172,3
17/08/2017,2017XX268213,121471,ON#2368,370,149,4
17/08/2017,2017XX268213,121471,ON#2375,473,172,4
13/11/2016,2016XX213494,128581,ON#2421,357,149,4
13/11/2016,2016XX213494,128581,ON#2429,313,161,3
13/11/2016,2016XX213494,128581,ON#2420,454,130,4
13/11/2016,2016XX213494,128581,ON#2369,350,141,4
13/11/2016,2016XX213494,128581,ON#2426,475,141,3
31/11/2016,2016XX242670,128626,ON#2363,454,153,4
22/04/2015,2015XX251217,123136,ON#2353,270,217,3
22/04/2015,2015XX251217,123136,ON#2354,287,219,3
07/12/2018,2018XX218933,132796,ON#2397,462,198,4
07/08/2018,2018YY235516,125476,ON#2376,477,138,3
07/08/2018,2018YY235516,125476,ON#2395,437,192,3
25/07/2018,2018XX216287,128416,ON#2409,278,146,3
04/09/2015,2015XX244903,122866,ON#2399,294,133,3
04/09/2015,2015XX244903,122866,ON#2360,469,145,4
18/12/2018,2018YY227914,128251,ON#2374,357,204,3
04/07/2018,2018XX237595,126001,ON#2430,406,134,3
10/12/2018,2018XX219542,127921,ON#2367,348,214,4
02/12/2018,2018XX247073,127096,ON#2444,480,215,3
02/12/2018,2018XX247073,127096,ON#2401,366,146,3
02/12/2018,2018XX247073,127096,ON#2436,323,137,3
02/12/2018,2018XX247073,127096,ON#2418,247,168,3
02/12/2018,2018XX247073,127096,ON#2366,435,149,3
10/03/2016,2016XX212220,129091,ON#2400,201,140,3
03/02/2016,2016XX257475,132886,ON#2407,205,155,4
03/02/2016,2016XX257475,132886,ON#2393,202,106,4
03/02/2016,2016XX257475,132886,ON#2355,489,215,3
03/02/2016,2016XX257475,132886,ON#2354,377,196,4
03/02/2016,2016XX257475,132886,ON#2355,363,119,4
28/11/2017,2017XX241375,127021,ON#2361,384,211,4
28/11/2017,2017XX241375,127021,ON#2410,258,131,4
25/12/2016,2016XX280610,127036,ON#2403,373,209,3
25/12/2016,2016XX280610,127036,ON#2364,387,100,3
25/12/2016,2016XX280610,127036,ON#2399,274,208,3
25/12/2016,2016XX280610,127036,ON#2351,359,146,4
25/12/2016,2016XX280610,127036,ON#2378,231,137,4
25/12/2016,2016XX280610,127036,ON#2396,308,100,4
10/09/2016,2016XX274268,124291,ON#2416,412,212,4
10/09/2016,2016XX274268,124291,ON#2367,370,196,4
10/09/2016,2016XX274268,124291,ON#2426,223,149,3
28/03/2016,2016YY256649,132781,ON#2360,277,201,4
28/03/2016,2016YY256649,132781,ON#2390,477,189,4
14/10/2015,2015YY267429,125146,ON#2421,446,103,3
08/05/2018,2018YY212143,123511,ON#2351,415,163,4
08/05/2018,2018YY212143,123511,ON#2422,417,114,3
08/05/2018,2018YY212143,123511,ON#2402,391,103,3
08/05/2018,2018YY212143,123511,ON#2352,200,149,3
08/05/2018,2018YY212143,123511,ON#2384,381,207,4
13/12/2018,2018XX271727,124231,ON#2351,374,163,3
05/07/2017,2017XX268962,127756,ON#2410,446,199,3
05/07/2017,2017XX268962,127756,ON#2421,327,202,3
05/07/2017,2017XX268962,127756,ON#2436,429,108,4
05/07/2017,2017XX268962,127756,ON#2409,483,150,4
05/07/2017,2017XX268962,127756,ON#2349,405,134,3
05/07/2017,2017XX268962,127756,ON#2392,207,186,3
05/07/2017,2017XX268962,127756,ON#2365,340,204,4
02/07/2015,2015XX243139,124591,ON#2354,223,123,3
02/07/2015,2015XX243139,124591,ON#2402,385,140,4
02/07/2015,2015XX243139,124591,ON#2351,375,196,3
02/07/2015,2015XX243139,124591,ON#2368,348,206,3
02/07/2015,2015XX243139,124591,ON#2440,214,168,4
11/12/2017,2017XX265952,128266,ON#2442,237,103,3
12/10/2017,2017XX256838,127651,ON#2372,381,205,4
12/10/2017,2017XX256838,127651,ON#2450,204,219,4
11/12/2017,2017XX258154,124426,ON#2356,443,102,3
11/12/2017,2017XX258154,124426,ON#2401,448,122,4
28/12/2016,2016YY271195,123991,ON#2349,470,120,3
28/12/2016,2016YY271195,123991,ON#2363,478,141,3
28/12/2016,2016YY271195,123991,ON#2369,369,213,4
28/12/2016,2016YY271195,123991,ON#2426,451,208,3
02/12/2018,2018XX274352,123781,ON#2390,224,152,3
02/12/2018,2018XX274352,123781,ON#2437,470,203,3
02/12/2018,2018XX274352,123781,ON#2429,301,108,4
09/07/2018,2018YY266512,124711,ON#2357,444,131,4
20/10/2015,2015YY218205,131401,ON#2363,207,177,4
20/10/2015,2015YY218205,131401,ON#2407,430,208,3
07/07/2017,2017XX236531,130936,ON#2420,387,182,4
11/12/2016,2016XX266253,121321,ON#2409,486,189,4
17/07/2018,2018XX248039,123646,ON#2413,415,174,4
23/02/2017,2017XX222223,130006,ON#2447,282,107,3
10/12/2018,2018YY256579,123421,ON#2352,302,200,4
10/12/2018,2018YY256579,123421,ON#2391,384,207,3
28/12/2018,2018XX275192,127801,ON#2390,230,148,4
30/08/2016,2016XX266547,126031,ON#2415,358,170,4
30/08/2016,2016XX266547,126031,ON#2414,382,173,3
30/08/2016,2016XX266547,126031,ON#2351,428,101,4
17/10/2018,2018XX229349,122101,ON#2434,236,201,3
17/10/2018,2018XX229349,122101,ON#2376,322,167,4
14/11/2018,2018XX244189,121606,ON#2434,264,142,3
14/11/2018,2018XX244189,121606,ON#2385,296,203,3
14/11/2018,2018XX244189,121606,ON#2364,450,119,3
14/11/2018,2018XX244189,121606,ON#2354,378,131,3
27/10/2016,2016YY273204,131836,ON#2387,286,106,4
27/10/2016,2016YY273204,131836,ON#2417,377,193,3
03/12/2016,2016XX242103,126391,ON#2362,401,108,4
27/10/2016,2016XX242096,132631,ON#2373,434,125,3
27/10/2016,2016XX242096,132631,ON#2449,389,217,4
27/10/2016,2016XX242096,132631,ON#2447,354,165,4
19/12/2017,2017XX223910,121306,ON#2425,278,179,3
19/12/2017,2017XX223910,121306,ON#2402,454,149,4
19/12/2017,2017XX223910,121306,ON#2393,468,113,3
21/12/2017,2017XX221985,129676,ON#2418,486,116,4
21/12/2017,2017XX221985,129676,ON#2414,475,132,3
21/12/2017,2017XX221985,129676,ON#2392,454,182,3
21/12/2017,2017XX221985,129676,ON#2369,279,118,4
27/12/2015,2015XX222664,127666,ON#2361,428,192,4
27/12/2015,2015XX222664,127666,ON#2407,289,217,4
27/12/2015,2015XX222664,127666,ON#2358,282,127,4
27/12/2015,2015XX222664,127666,ON#2408,410,151,3
27/12/2015,2015XX222664,127666,ON#2365,448,138,4
28/11/2017,2017XX253758,127006,ON#2383,206,122,3
28/11/2017,2017XX253758,127006,ON#2409,377,197,3
28/11/2017,2017XX253758,127006,ON#2444,469,200,4
28/11/2017,2017XX253758,127006,ON#2408,292,133,4
28/11/2017,2017XX253758,127006,ON#2387,316,175,3
20/12/2018,2018YY263593,127021,ON#2398,444,139,3
05/06/2016,2016XX255466,121336,ON#2396,256,216,4
30/12/2015,2015XX242173,127711,ON#2377,367,151,3
02/07/2015,2015XX222216,123736,ON#2449,245,189,3
02/07/2015,2015XX222216,123736,ON#2406,471,202,3
16/05/2018,2018XX237987,131506,ON#2366,309,143,4
13/10/2017,2017XX254115,122296,ON#2378,375,116,3
13/10/2017,2017XX254115,122296,ON#2390,370,132,3
13/10/2017,2017XX254115,122296,ON#2389,417,156,4
13/10/2017,2017XX254115,122296,ON#2378,456,144,4
28/10/2015,2015XX232100,132316,ON#2445,357,133,4
10/09/2015,2015XX279063,121636,ON#2429,444,211,4
10/09/2015,2015XX279063,121636,ON#2374,371,154,3
28/12/2015,2015XX275472,131971,ON#2389,265,153,4
05/12/2015,2015XX276186,129556,ON#2396,337,193,4
05/12/2015,2015XX276186,129556,ON#2396,241,130,3
05/12/2015,2015XX276186,129556,ON#2435,343,138,3
05/12/2015,2015XX276186,129556,ON#2422,425,220,4
05/12/2015,2015XX276186,129556,ON#2355,480,151,3
20/10/2015,2015XX267814,125341,ON#2405,372,142,3
24/05/2017,2017XX273351,125731,ON#2370,235,150,3
24/05/2017,2017XX273351,125731,ON#2400,371,145,4
04/12/2018,2018XX264552,124621,ON#2435,429,163,3
30/09/2017,2017YY252757,129961,ON#2441,371,141,3
30/09/2017,2017YY252757,129961,ON#2435,293,182,4
30/09/2017,2017YY252757,129961,ON#2433,319,209,4
30/09/2017,2017YY252757,129961,ON#2398,281,118,4
30/09/2017,2017YY252757,129961,ON#2420,387,219,4
26/05/2017,2017YY261360,126961,ON#2437,485,119,3
26/05/2017,2017YY261360,126961,ON#2444,363,129,3
26/05/2017,2017YY261360,126961,ON#2397,358,155,3
02/10/2016,2016XX249159,124726,ON#2408,214,171,3
02/10/2016,2016XX249159,124726,ON#2385,375,218,3
02/10/2016,2016XX249159,124726,ON#2394,380,164,3
13/08/2015,2015XX241137,121531,ON#2430,277,213,4
13/08/2015,2015XX241137,121531,ON#2413,386,138,4
23/07/2016,2016XX239380,127756,ON#2381,392,119,3
14/05/2015,2015XX233549,127006,ON#2385,228,103,3
14/05/2015,2015XX233549,127006,ON#2446,362,217,4
14/05/2015,2015XX233549,127006,ON#2402,391,174,3
14/05/2015,2015XX233549,127006,ON#2365,314,176,3
21/12/2016,2016YY231925,123241,ON#2395,361,187,4
16/07/2018,2018XX281114,123661,ON#2388,321,180,4
09/08/2018,2018XX245519,132106,ON#2405,312,131,3
09/08/2018,2018XX245519,132106,ON#2450,210,106,4
09/08/2018,2018XX245519,132106,ON#2349,231,146,3
02/10/2017,2017XX240927,121171,ON#2421,221,187,3
02/10/2017,2017XX240927,121171,ON#2410,370,145,3
02/10/2017,2017XX240927,121171,ON#2421,366,103,4
02/10/2017,2017XX240927,121171,ON#2371,385,137,3
02/10/2017,2017XX240927,121171,ON#2402,333,137,4
09/05/2017,2017XX249733,126616,ON#2445,423,209,4
09/05/2017,2017XX249733,126616,ON#2371,223,210,3
09/05/2017,2017XX249733,126616,ON#2382,233,216,4
09/05/2017,2017XX249733,126616,ON#2369,441,195,3
24/05/2017,2017XX241214,126001,ON#2407,413,139,4
09/04/2018,2018XX266911,132856,ON#2410,390,206,3
09/04/2018,2018XX266911,132856,ON#2449,282,215,4
26/10/2018,2018XX256117,127546,ON#2446,312,156,3
26/10/2018,2018XX256117,127546,ON#2402,428,141,4
26/10/2018,2018XX256117,127546,ON#2431,219,123,4
26/10/2018,2018XX256117,127546,ON#2365,379,122,3
25/10/2015,2015XX234557,127171,ON#2407,474,108,4
22/11/2017,2017XX266729,129016,ON#2433,228,143,4
22/11/2017,2017XX266729,129016,ON#2403,264,113,4
22/11/2017,2017XX266729,129016,ON#2399,317,156,3
22/11/2017,2017XX266729,129016,ON#2351,394,104,4
29/06/2018,2018XX215958,125866,ON#2361,303,178,4
29/06/2018,2018XX215958,125866,ON#2373,244,139,4
24/08/2015,2015YY230350,122011,ON#2417,372,176,4
24/08/2015,2015YY230350,122011,ON#2388,438,213,3
24/08/2015,2015YY230350,122011,ON#2382,291,107,3
24/08/2015,2015YY230350,122011,ON#2351,435,102,3
28/10/2017,2017YY245869,129391,ON#2404,333,204,4
28/09/2018,2018YY245694,121516,ON#2369,343,163,3
28/05/2016,2016XX242005,131026,ON#2411,281,139,4
28/05/2016,2016XX242005,131026,ON#2359,405,151,4
28/05/2016,2016XX242005,131026,ON#2372,372,184,4
28/11/2017,2017XX245988,121396,ON#2354,247,193,4
28/11/2017,2017XX245988,121396,ON#2355,284,103,3
27/07/2016,2016XX236608,127891,ON#2376,397,167,3
28/12/2016,2016YY280148,124546,ON#2381,432,118,3
28/12/2016,2016YY280148,124546,ON#2416,217,208,4
04/12/2016,2016XX233969,124336,ON#2371,297,126,3
04/12/2016,2016XX233969,124336,ON#2360,262,177,4
25/12/2015,2015XX227186,129541,ON#2420,252,174,4
12/12/2018,2018XX213011,129301,ON#2390,331,167,3
12/12/2018,2018XX213011,129301,ON#2421,349,186,3
22/10/2015,2015YY247185,126226,ON#2420,464,144,4
22/10/2015,2015YY247185,126226,ON#2352,237,175,3
08/07/2015,2015YY246184,122206,ON#2407,238,107,4
30/07/2018,2018XX214159,132841,ON#2394,487,142,3
18/11/2018,2018XX276816,131251,ON#2372,304,114,3
18/11/2018,2018XX276816,131251,ON#2386,226,164,4
31/11/2016,2016XX233472,125926,ON#2419,378,120,3
09/10/2017,2017XX220200,121786,ON#2355,477,210,4
09/10/2017,2017XX220200,121786,ON#2418,299,107,4
09/10/2017,2017XX220200,121786,ON#2421,313,160,3
09/10/2017,2017XX220200,121786,ON#2448,247,197,3
25/12/2015,2015XX224379,128296,ON#2357,233,193,4
17/05/2015,2015XX266421,131761,ON#2428,283,105,4
25/12/2018,2018XX229146,130951,ON#2385,255,190,3
09/12/2018,2018XX228670,127621,ON#2442,399,135,4
09/12/2018,2018XX228670,127621,ON#2418,264,138,3
09/12/2018,2018XX228670,127621,ON#2429,202,208,3
09/12/2018,2018XX228670,127621,ON#2401,386,135,4
09/12/2018,2018XX228670,127621,ON#2416,296,168,3
09/12/2018,2018XX228670,127621,ON#2422,428,175,4
09/12/2018,2018XX228670,127621,ON#2375,281,155,4
09/12/2018,2018XX228670,127621,ON#2380,282,118,3
09/12/2018,2018XX228670,127621,ON#2450,406,193,4
04/12/2018,2018XX253849,127786,ON#2390,217,127,3
04/12/2018,2018XX253849,127786,ON#2371,366,132,3
25/07/2018,2018XX233318,123121,ON#2352,395,193,4
15/05/2017,2017XX260009,130261,ON#2396,425,112,3
07/12/2018,2018XX266029,132856,ON#2409,373,108,3
05/04/2018,2018XX221691,131971,ON#2397,222,211,3
05/04/2018,2018XX221691,131971,ON#2436,338,197,3
23/07/2015,2015XX253261,126856,ON#2403,389,197,4
20/11/2018,2018XX236601,129076,ON#2430,447,176,4
20/11/2018,2018XX236601,129076,ON#2408,428,168,4
22/09/2018,2018XX266918,129496,ON#2421,324,138,4
24/12/2018,2018XX260373,126376,ON#2404,482,129,3
24/12/2018,2018XX260373,126376,ON#2421,273,179,3
13/10/2015,2015XX212689,131596,ON#2372,212,147,3
02/11/2018,2018XX263488,127741,ON#2437,229,121,4
16/05/2017,2017YY234963,130906,ON#2425,434,178,3
16/05/2017,2017YY234963,130906,ON#2368,383,121,4
16/05/2017,2017YY234963,130906,ON#2443,238,144,4
16/05/2017,2017YY234963,130906,ON#2441,482,136,3
07/07/2017,2017XX238582,124171,ON#2384,250,161,4
20/12/2015,2015YY261787,129271,ON#2400,413,216,3
20/12/2015,2015YY261787,129271,ON#2403,239,208,3
13/07/2017,2017XX258588,130291,ON#2435,225,144,4
13/07/2017,2017XX258588,130291,ON#2420,265,116,3
16/10/2018,2018XX241256,122656,ON#2411,304,122,4
21/02/2018,2018XX268465,123916,ON#2444,421,149,4
06/10/2017,2017XX226969,130186,ON#2426,216,110,4
06/10/2017,2017XX226969,130186,ON#2428,291,178,4
06/10/2017,2017XX226969,130186,ON#2355,365,146,3
06/10/2017,2017XX226969,130186,ON#2380,419,198,4
06/10/2017,2017XX226969,130186,ON#2413,488,208,4
06/10/2017,2017XX226969,130186,ON#2378,444,101,3
21/04/2018,2018XX265427,132706,ON#2363,200,187,4
02/05/2017,2017XX277887,130471,ON#2393,487,160,4
02/05/2017,2017XX277887,130471,ON#2380,360,151,4
02/05/2017,2017XX277887,130471,ON#2386,470,160,4
02/05/2017,2017XX277887,130471,ON#2358,391,113,3
02/05/2017,2017XX277887,130471,ON#2396,237,191,3
02/05/2017,2017XX277887,130471,ON#2354,346,161,3
21/11/2018,2018XX258490,124816,ON#2420,461,119,4
21/11/2018,2018XX258490,124816,ON#2426,259,154,3
14/12/2017,2017XX211366,127741,ON#2379,318,165,3
13/03/2015,2015YY221887,131206,ON#2418,468,198,3
27/10/2017,2017YY269158,129496,ON#2421,215,204,4
27/10/2017,2017YY269158,129496,ON#2442,458,145,4
16/12/2016,2016XX220851,127096,ON#2364,405,143,3
16/12/2016,2016XX220851,127096,ON#2414,312,204,3
16/12/2016,2016XX220851,127096,ON#2370,311,206,4
23/05/2017,2017XX221082,132151,ON#2409,477,190,3
23/05/2017,2017XX221082,132151,ON#2434,309,193,4
23/05/2017,2017XX221082,132151,ON#2418,438,132,3
23/05/2017,2017XX221082,132151,ON#2349,230,161,3
23/05/2017,2017XX221082,132151,ON#2353,358,144,3
18/02/2016,2016YY212612,127051,ON#2354,391,179,3
31/4/2018,2018XX266120,124291,ON#2368,303,120,4
17/12/2017,2017YY211632,123781,ON#2394,464,188,4
21/12/2016,2016XX265357,128896,ON#2357,212,216,3
10/12/2015,2015XX255879,126631,ON#2379,383,169,3
10/12/2015,2015XX255879,126631,ON#2434,414,165,3
10/12/2015,2015XX255879,126631,ON#2394,445,128,4
10/12/2015,2015XX255879,126631,ON#2441,485,150,4
10/12/2015,2015XX255879,126631,ON#2384,210,207,4
10/12/2015,2015XX255879,126631,ON#2409,303,204,3
13/08/2017,2017XX215104,127801,ON#2385,276,185,3
28/11/2017,2017XX263845,126586,ON#2424,280,192,4
